Køn,Alder,År,Andel_tinitus,Region
Mænd,16-24 år,2010,4.709848027522135,Region Hovedstaden
Mænd,16-24 år,2013,7.465195692551339,Region Hovedstaden
Mænd,16-24 år,2017,6.2493913708519875,Region Hovedstaden
Mænd,16-24 år,2021,9.101384681776073,Region Hovedstaden
Mænd,25-34 år,2010,6.804054502404382,Region Hovedstaden
Mænd,25-34 år,2013,8.734320689184703,Region Hovedstaden
Mænd,25-34 år,2017,7.401127893583596,Region Hovedstaden
Mænd,25-34 år,2021,9.358281346451038,Region Hovedstaden
Mænd,35-44 år,2010,7.766015599885236,Region Hovedstaden
Mænd,35-44 år,2013,9.830813031846438,Region Hovedstaden
Mænd,35-44 år,2017,9.684837345117506,Region Hovedstaden
Mænd,35-44 år,2021,11.974800832194813,Region Hovedstaden
Mænd,45-54 år,2010,10.974459824400364,Region Hovedstaden
Mænd,45-54 år,2013,14.670937352833358,Region Hovedstaden
Mænd,45-54 år,2017,15.021894166961694,Region Hovedstaden
Mænd,45-54 år,2021,17.360309516880083,Region Hovedstaden
Mænd,55-64 år,2010,18.249538102899518,Region Hovedstaden
Mænd,55-64 år,2013,21.57566972325001,Region Hovedstaden
Mænd,55-64 år,2017,21.51843234213516,Region Hovedstaden
Mænd,55-64 år,2021,24.523839419789113,Region Hovedstaden
Mænd,65-74 år,2010,17.94613174613579,Region Hovedstaden
Mænd,65-74 år,2013,24.007506324191,Region Hovedstaden
Mænd,65-74 år,2017,24.419945790140865,Region Hovedstaden
Mænd,65-74 år,2021,30.47334233633511,Region Hovedstaden
Mænd,75+ år,2010,15.540575032077156,Region Hovedstaden
Mænd,75+ år,2013,20.289121937999507,Region Hovedstaden
Mænd,75+ år,2017,20.65330095969348,Region Hovedstaden
Mænd,75+ år,2021,24.190612858578596,Region Hovedstaden
Kvinder,16-24 år,2010,3.325104487450586,Region Hovedstaden
Kvinder,16-24 år,2013,4.676143557151486,Region Hovedstaden
Kvinder,16-24 år,2017,4.167119025273753,Region Hovedstaden
