Køn,Alder,År,Andel_tinitus
Mænd,16-24,2010,4.771974661455087
Mænd,16-24,2013,6.41806113453104
Mænd,16-24,2017,6.104803693587262
Mænd,16-24,2021,9.738568104056158
Mænd,16-24,2023,10.730235812843084
Mænd,25-34,2010,6.853276056019101
Mænd,25-34,2013,8.068511453680271
Mænd,25-34,2017,7.362282363764375
Mænd,25-34,2021,9.367615967912815
Mænd,25-34,2023,12.844001700705398
Mænd,35-44,2010,8.549224477869377
Mænd,35-44,2013,9.258678453548871
Mænd,35-44,2017,10.680307466387884
Mænd,35-44,2021,12.038258383386642
Mænd,35-44,2023,12.037094012666868
Mænd,45-54,2010,13.530524430773752
Mænd,45-54,2013,16.012425981235133
Mænd,45-54,2017,15.716257259207339
Mænd,45-54,2021,18.5001002518869
Mænd,45-54,2023,18.50804448161156
Mænd,55-64,2010,20.896116267675794
Mænd,55-64,2013,23.598885406254286
Mænd,55-64,2017,24.876972025769916
Mænd,55-64,2021,26.83332916765137
Mænd,55-64,2023,28.07693537104648
Mænd,65-74,2010,21.512180731467424
Mænd,65-74,2013,26.112934884982113
Mænd,65-74,2017,27.05128280600406
Mænd,65-74,2021,31.827827955878874
Mænd,65-74,2023,30.541411796188438
Mænd,75+,2010,17.679224603041284
Mænd,75+,2013,21.576247909429675
Mænd,75+,2017,21.87709060261997
Mænd,75+,2021,26.7760778165816
Mænd,75+,2023,33.13804078754534
Kvinder,16-24,2010,3.389134458263945
Kvinder,16-24,2013,4.662863867920987
Kvinder,16-24,2017,4.409498299622664
Kvinder,16-24,2021,7.9867369849557015
Kvinder,16-24,2023,9.469178000229322
Kvinder,25-34,2010,3.7265398692367953
Kvinder,25-34,2013,4.336454137035585
Kvinder,25-34,2017,5.525199327059617
Kvinder,25-34,2021,8.063463563878424
Kvinder,25-34,2023,11.723615122205404
Kvinder,35-44,2010,4.89496913602132
Kvinder,35-44,2013,5.61114393374982
Kvinder,35-44,2017,6.278248300116261
Kvinder,35-44,2021,9.068106150879379
Kvinder,35-44,2023,13.002393963144563
Kvinder,45-54,2010,7.6808374941312385
Kvinder,45-54,2013,10.028150294737593
Kvinder,45-54,2017,10.033093197279888
Kvinder,45-54,2021,13.183994202490018
Kvinder,45-54,2023,16.986271287315127
Kvinder,55-64,2010,10.597062418082617
Kvinder,55-64,2013,12.967943107396044
Kvinder,55-64,2017,14.86142580877606
Kvinder,55-64,2021,18.752094080773425
Kvinder,55-64,2023,18.029654201643694
Kvinder,65-74,2010,11.79253350634118
Kvinder,65-74,2013,15.101468314882968
Kvinder,65-74,2017,14.549599078746379
Kvinder,65-74,2021,19.12089874056976
Kvinder,65-74,2023,23.76825937732536
Kvinder,75+,2010,15.842086589892258
Kvinder,75+,2013,15.34644104103352
Kvinder,75+,2017,14.774723209042955
Kvinder,75+,2021,17.733520861838663
Kvinder,75+,2023,17.724353890597275
